Invoice Ref,Account Name,Inv Amt (INR),Due Dt,Days Late,Last Touch,Collector,Payment Risk,A/R State,Region,City Cluster,Channel Type,Order Mix,Escalation Note,Promised Dt,Source URL
SP-AR-26-1114,Phoenix Mall Food Court Events Noida,120400,2026-03-18,17,2026-03-28,Arjun,Low,Overdue,North,Noida,Franchise Partner,Chai Flask Bulk Orders,GST invoice uploaded but payout still pending,,https://samosaparty.in/about
SP-AR-26-1115,Airport Kiosk Bulk Order Desk Bengaluru,136650,2026-04-04,0,2026-04-03,Megha,Low,Paid,South,Bengaluru,Direct App Enterprise,Marketplace Delivery,Closed after settlement remittance confirmation,,https://samosaparty.in/store-locator
SP-AR-26-1116,Direct App Enterprise Orders Gurugram,127050,2026-03-12,23,2026-03-26,Karan,High,Overdue,North,Gurugram,Food Aggregator,Breakfast Combos,Store-wise reconciliation pending with channel partner,,https://samosaparty.in/contact-us
SP-AR-26-1117,Tech Park Pantry Program Hyderabad,140950,2026-03-09,26,2026-03-25,Sana,Low,Overdue,South,Hyderabad,Corporate Catering,Chai Flask Bulk Orders,No remittance confirmation from aggregator settlement team,,https://samosaparty.in/
SP-AR-26-1118,Festival Bulk Orders Desk Ghaziabad,72050,2026-03-06,29,2026-04-02,Vikram,Medium,Overdue,North,Ghaziabad,Mall/Transit Venue,Marketplace Delivery,GST invoice uploaded but payout still pending,,https://samosaparty.in/about
SP-AR-26-1119,Metro Hub Breakfast Program Chennai,85950,2026-03-03,32,2026-04-01,,Low,Overdue,South,Chennai,Franchise Partner,Breakfast Combos,Bulk event order signoff pending from client admin,,https://samosaparty.in/store-locator
SP-AR-26-1120,Retail Franchise Supplies Faridabad,99850,2026-02-15,48,2026-03-20,,High,Disputed,North,Faridabad,Direct App Enterprise,Chai Flask Bulk Orders,Settlement dispute: commission or outlet-level payout mismatch under review,,https://samosaparty.in/contact-us
SP-AR-26-1121,Swiggy Settlement Bengaluru,92600,2026-02-25,38,,,High,Overdue,South,Bengaluru,Food Aggregator,Marketplace Delivery,No remittance confirmation from aggregator settlement team,,https://samosaparty.in/
SP-AR-26-1122,Zomato Settlement Delhi,106500,2026-03-17,18,2026-03-31,Arjun,Medium,Promise to Pay,North,Delhi,Corporate Catering,Breakfast Combos,Finance contact committed payout release after outlet-level reconciliation,2026-04-06,https://samosaparty.in/about
SP-AR-26-1123,Corporate Catering - Infosys Hyderabad,120400,2026-02-19,44,2026-03-28,Megha,Low,Overdue,South,Hyderabad,Mall/Transit Venue,Chai Flask Bulk Orders,Bulk event order signoff pending from client admin,,https://samosaparty.in/store-locator
SP-AR-26-1124,Corporate Catering - Wipro Noida,134300,2026-03-29,6,2026-03-27,Karan,Medium,Overdue,North,Noida,Franchise Partner,Marketplace Delivery,Store-wise reconciliation pending with channel partner,,https://samosaparty.in/contact-us
SP-AR-26-1125,Corporate Catering - Microsoft Chennai,148200,2026-03-26,9,2026-03-26,Sana,Low,Overdue,South,Chennai,Direct App Enterprise,Breakfast Combos,No remittance confirmation from aggregator settlement team,,https://samosaparty.in/
SP-AR-26-1126,Phoenix Mall Food Court Events Gurugram,138600,2026-03-23,12,2026-03-25,Vikram,High,Overdue,North,Gurugram,Food Aggregator,Chai Flask Bulk Orders,GST invoice uploaded but payout still pending,,https://samosaparty.in/about
SP-AR-26-1127,Airport Kiosk Bulk Order Desk Bengaluru,72050,2026-03-12,23,2026-03-30,,Medium,Partial Payment,South,Bengaluru,Corporate Catering,Marketplace Delivery,Short remittance received; balance pending against catering or marketplace cycle,2026-04-06,https://samosaparty.in/store-locator
SP-AR-26-1128,Direct App Enterprise Orders Ghaziabad,85950,2026-03-17,18,2026-04-01,,Low,Overdue,North,Ghaziabad,Mall/Transit Venue,Breakfast Combos,Store-wise reconciliation pending with channel partner,,https://samosaparty.in/contact-us
SP-AR-26-1129,Tech Park Pantry Program Hyderabad,99850,2026-03-14,21,2026-03-31,,Low,Overdue,South,Hyderabad,Franchise Partner,Chai Flask Bulk Orders,No remittance confirmation from aggregator settlement team,,https://samosaparty.in/
SP-AR-26-1130,Festival Bulk Orders Desk Faridabad,113750,2026-03-11,24,2026-03-30,Arjun,Medium,Overdue,North,Faridabad,Direct App Enterprise,Marketplace Delivery,GST invoice uploaded but payout still pending,,https://samosaparty.in/about
SP-AR-26-1131,Metro Hub Breakfast Program Chennai,104150,2026-03-08,27,,Megha,High,Overdue,South,Chennai,Food Aggregator,Breakfast Combos,Bulk event order signoff pending from client admin,,https://samosaparty.in/store-locator
SP-AR-26-1132,Retail Franchise Supplies Delhi,118050,2026-03-05,30,2026-03-28,Karan,Low,Overdue,North,Delhi,Corporate Catering,Chai Flask Bulk Orders,Store-wise reconciliation pending with channel partner,,https://samosaparty.in/contact-us
SP-AR-26-1133,Swiggy Settlement Bengaluru,134300,2026-03-19,16,2026-04-01,Sana,Medium,Promise to Pay,South,Bengaluru,Mall/Transit Venue,Marketplace Delivery,Finance contact committed payout release after outlet-level reconciliation,2026-04-05,https://samosaparty.in/
SP-AR-26-1134,Zomato Settlement Noida,148200,2026-04-04,0,2026-04-03,Vikram,Low,Paid,North,Noida,Franchise Partner,Breakfast Combos,Closed after settlement remittance confirmation,,https://samosaparty.in/about
SP-AR-26-1135,Corporate Catering - Infosys Hyderabad,162100,2026-02-24,39,2026-03-25,,Low,Overdue,South,Hyderabad,Direct App Enterprise,Chai Flask Bulk Orders,Bulk event order signoff pending from client admin,,https://samosaparty.in/store-locator
SP-AR-26-1136,Corporate Catering - Wipro Gurugram,69700,2026-02-21,42,2026-04-02,,High,Overdue,North,Gurugram,Food Aggregator,Marketplace Delivery,Store-wise reconciliation pending with channel partner,,https://samosaparty.in/contact-us
SP-AR-26-1137,Corporate Catering - Microsoft Chennai,83600,2026-02-19,44,2026-03-23,,High,Disputed,South,Chennai,Corporate Catering,Breakfast Combos,Settlement dispute: commission or outlet-level payout mismatch under review,,https://samosaparty.in/
SP-AR-26-1138,Phoenix Mall Food Court Events Ghaziabad,97500,2026-03-28,7,2026-03-31,Arjun,Low,Overdue,North,Ghaziabad,Mall/Transit Venue,Chai Flask Bulk Orders,GST invoice uploaded but payout still pending,,https://samosaparty.in/about
SP-AR-26-1139,Airport Kiosk Bulk Order Desk Bengaluru,113750,2026-03-25,10,2026-03-30,Megha,Medium,Overdue,South,Bengaluru,Franchise Partner,Marketplace Delivery,Bulk event order signoff pending from client admin,,https://samosaparty.in/store-locator
SP-AR-26-1140,Direct App Enterprise Orders Faridabad,127650,2026-03-22,13,2026-03-29,Karan,Low,Overdue,North,Faridabad,Direct App Enterprise,Breakfast Combos,Store-wise reconciliation pending with channel partner,,https://samosaparty.in/contact-us
SP-AR-26-1141,Tech Park Pantry Program Hyderabad,118050,2026-03-09,26,2026-03-28,Sana,Medium,Partial Payment,South,Hyderabad,Food Aggregator,Chai Flask Bulk Orders,Short remittance received; balance pending against catering or marketplace cycle,2026-04-08,https://samosaparty.in/
SP-AR-26-1142,Festival Bulk Orders Desk Delhi,131950,2026-03-16,19,2026-03-27,Vikram,Medium,Overdue,North,Delhi,Corporate Catering,Marketplace Delivery,GST invoice uploaded but payout still pending,,https://samosaparty.in/about
SP-AR-26-1143,Metro Hub Breakfast Program Chennai,145850,2026-03-13,22,2026-03-26,,Low,Overdue,South,Chennai,Mall/Transit Venue,Breakfast Combos,Bulk event order signoff pending from client admin,,https://samosaparty.in/store-locator
SP-AR-26-1144,Retail Franchise Supplies Noida,159750,2026-03-21,14,2026-03-29,,Medium,Promise to Pay,North,Noida,Franchise Partner,Chai Flask Bulk Orders,Finance contact committed payout release after outlet-level reconciliation,2026-04-08,https://samosaparty.in/contact-us
SP-AR-26-1145,Swiggy Settlement Bengaluru,93200,2026-03-07,28,2026-04-02,,Medium,Overdue,South,Bengaluru,Direct App Enterprise,Marketplace Delivery,No remittance confirmation from aggregator settlement team,,https://samosaparty.in/
SP-AR-26-1146,Zomato Settlement Gurugram,83600,2026-03-04,31,2026-04-01,Arjun,High,Overdue,North,Gurugram,Food Aggregator,Breakfast Combos,GST invoice uploaded but payout still pending,,https://samosaparty.in/about
SP-AR-26-1147,Corporate Catering - Infosys Hyderabad,97500,2026-03-01,34,2026-03-31,Megha,Low,Overdue,South,Hyderabad,Corporate Catering,Chai Flask Bulk Orders,Bulk event order signoff pending from client admin,,https://samosaparty.in/store-locator
SP-AR-26-1148,Corporate Catering - Wipro Ghaziabad,111400,2026-03-13,22,2026-03-27,Karan,Medium,Partial Payment,North,Ghaziabad,Mall/Transit Venue,Marketplace Delivery,Short remittance received; balance pending against catering or marketplace cycle,2026-04-09,https://samosaparty.in/contact-us
SP-AR-26-1149,Corporate Catering - Microsoft Chennai,125300,2026-02-23,40,2026-03-29,Sana,Low,Overdue,South,Chennai,Franchise Partner,Breakfast Combos,No remittance confirmation from aggregator settlement team,,https://samosaparty.in/
SP-AR-26-1150,Phoenix Mall Food Court Events Faridabad,139200,2026-02-20,43,2026-03-28,Vikram,Low,Overdue,North,Faridabad,Direct App Enterprise,Chai Flask Bulk Orders,GST invoice uploaded but payout still pending,,https://samosaparty.in/about
SP-AR-26-1151,Airport Kiosk Bulk Order Desk Bengaluru,131950,2026-02-17,46,,,High,Overdue,South,Bengaluru,Food Aggregator,Marketplace Delivery,Bulk event order signoff pending from client admin,,https://samosaparty.in/store-locator
SP-AR-26-1152,Direct App Enterprise Orders Delhi,145850,2026-03-27,8,2026-03-26,,Low,Overdue,North,Delhi,Corporate Catering,Breakfast Combos,Store-wise reconciliation pending with channel partner,,https://samosaparty.in/contact-us
SP-AR-26-1153,Tech Park Pantry Program Hyderabad,159750,2026-04-04,0,2026-04-03,,Low,Paid,South,Hyderabad,Mall/Transit Venue,Chai Flask Bulk Orders,Closed after settlement remittance confirmation,,https://samosaparty.in/
SP-AR-26-1154,Festival Bulk Orders Desk Noida,90850,2026-02-23,40,2026-03-21,Arjun,High,Disputed,North,Noida,Franchise Partner,Marketplace Delivery,Settlement dispute: commission or outlet-level payout mismatch under review,,https://samosaparty.in/about
SP-AR-26-1155,Metro Hub Breakfast Program Chennai,104750,2026-03-10,25,2026-03-30,Megha,Medium,Promise to Pay,South,Chennai,Direct App Enterprise,Breakfast Combos,Finance contact committed payout release after outlet-level reconciliation,2026-04-07,https://samosaparty.in/store-locator
SP-AR-26-1156,Retail Franchise Supplies Gurugram,95150,2026-03-15,20,2026-03-31,Karan,High,Overdue,North,Gurugram,Food Aggregator,Chai Flask Bulk Orders,Store-wise reconciliation pending with channel partner,,https://samosaparty.in/contact-us
SP-AR-26-1157,Swiggy Settlement Bengaluru,111400,2026-03-12,23,2026-03-30,Sana,Medium,Overdue,South,Bengaluru,Corporate Catering,Marketplace Delivery,No remittance confirmation from aggregator settlement team,,https://samosaparty.in/
SP-AR-26-1158,Zomato Settlement Ghaziabad,125300,2026-03-09,26,2026-03-29,Vikram,Low,Overdue,North,Ghaziabad,Mall/Transit Venue,Breakfast Combos,GST invoice uploaded but payout still pending,,https://samosaparty.in/about
SP-AR-26-1159,Corporate Catering - Infosys Hyderabad,139200,2026-03-06,29,2026-03-28,,Low,Overdue,South,Hyderabad,Franchise Partner,Chai Flask Bulk Orders,Bulk event order signoff pending from client admin,,https://samosaparty.in/store-locator
SP-AR-26-1160,Corporate Catering - Wipro Faridabad,153100,2026-03-03,32,2026-03-27,,Medium,Overdue,North,Faridabad,Direct App Enterprise,Marketplace Delivery,Store-wise reconciliation pending with channel partner,,https://samosaparty.in/contact-us
SP-AR-26-1161,Corporate Catering - Microsoft Chennai,143500,2026-02-28,35,,,High,Overdue,South,Chennai,Food Aggregator,Breakfast Combos,No remittance confirmation from aggregator settlement team,,https://samosaparty.in/
SP-AR-26-1162,Phoenix Mall Food Court Events Delhi,157400,2026-03-10,25,2026-03-25,Arjun,Medium,Partial Payment,North,Delhi,Corporate Catering,Chai Flask Bulk Orders,Short remittance received; balance pending against catering or marketplace cycle,2026-04-11,https://samosaparty.in/about
SP-AR-26-1163,Airport Kiosk Bulk Order Desk Bengaluru,90850,2026-02-22,41,2026-04-02,Megha,Medium,Overdue,South,Bengaluru,Mall/Transit Venue,Marketplace Delivery,Bulk event order signoff pending from client admin,,https://samosaparty.in/store-locator
SP-AR-26-1164,Direct App Enterprise Orders Noida,104750,2026-02-19,44,2026-04-01,Karan,Low,Overdue,North,Noida,Franchise Partner,Breakfast Combos,Store-wise reconciliation pending with channel partner,,https://samosaparty.in/contact-us
SP-AR-26-1165,Tech Park Pantry Program Hyderabad,118650,2026-03-29,6,2026-03-31,Sana,Low,Overdue,South,Hyderabad,Direct App Enterprise,Chai Flask Bulk Orders,No remittance confirmation from aggregator settlement team,,https://samosaparty.in/
SP-AR-26-1166,Festival Bulk Orders Desk Gurugram,109050,2026-03-12,23,2026-03-31,Vikram,Medium,Promise to Pay,North,Gurugram,Food Aggregator,Marketplace Delivery,Finance contact committed payout release after outlet-level reconciliation,2026-04-06,https://samosaparty.in/about
SP-AR-26-1167,Metro Hub Breakfast Program Chennai,122950,2026-03-23,12,2026-03-29,,Low,Overdue,South,Chennai,Corporate Catering,Breakfast Combos,Bulk event order signoff pending from client admin,,https://samosaparty.in/store-locator
SP-AR-26-1168,Retail Franchise Supplies Ghaziabad,136850,2026-03-20,15,2026-03-28,,Low,Overdue,North,Ghaziabad,Mall/Transit Venue,Chai Flask Bulk Orders,Store-wise reconciliation pending with channel partner,,https://samosaparty.in/contact-us
SP-AR-26-1169,Swiggy Settlement Bengaluru,153100,2026-03-14,21,2026-03-30,,Medium,Partial Payment,South,Bengaluru,Franchise Partner,Marketplace Delivery,Short remittance received; balance pending against catering or marketplace cycle,2026-04-06,https://samosaparty.in/
SP-AR-26-1170,Zomato Settlement Faridabad,167000,2026-03-14,21,2026-03-26,Arjun,Low,Overdue,North,Faridabad,Direct App Enterprise,Breakfast Combos,GST invoice uploaded but payout still pending,,https://samosaparty.in/about
SP-AR-26-1171,Corporate Catering - Infosys Hyderabad,157400,2026-02-27,36,2026-03-24,Megha,High,Disputed,South,Hyderabad,Food Aggregator,Chai Flask Bulk Orders,Settlement dispute: commission or outlet-level payout mismatch under review,,https://samosaparty.in/store-locator
SP-AR-26-1172,Corporate Catering - Wipro Delhi,88500,2026-04-04,0,2026-04-03,Karan,Low,Paid,North,Delhi,Corporate Catering,Marketplace Delivery,Closed after settlement remittance confirmation,,https://samosaparty.in/contact-us
SP-AR-26-1173,Corporate Catering - Microsoft Chennai,102400,2026-03-05,30,2026-04-01,Sana,Low,Overdue,South,Chennai,Mall/Transit Venue,Breakfast Combos,No remittance confirmation from aggregator settlement team,,https://samosaparty.in/
SP-AR-26-1174,Phoenix Mall Food Court Events Noida,116300,2026-03-02,33,2026-03-31,Vikram,Low,Overdue,North,Noida,Franchise Partner,Chai Flask Bulk Orders,GST invoice uploaded but payout still pending,,https://samosaparty.in/about
SP-AR-26-1175,Airport Kiosk Bulk Order Desk Bengaluru,132550,2026-02-27,36,2026-03-30,,Medium,Overdue,South,Bengaluru,Direct App Enterprise,Marketplace Delivery,Bulk event order signoff pending from client admin,,https://samosaparty.in/store-locator
SP-AR-26-1176,Direct App Enterprise Orders Gurugram,122950,2026-03-07,28,2026-03-29,,Medium,Partial Payment,North,Gurugram,Food Aggregator,Breakfast Combos,Short remittance received; balance pending against catering or marketplace cycle,2026-04-07,https://samosaparty.in/contact-us
SP-AR-26-1177,Tech Park Pantry Program Hyderabad,136850,2026-03-14,21,2026-04-01,,Medium,Promise to Pay,South,Hyderabad,Corporate Catering,Chai Flask Bulk Orders,Finance contact committed payout release after outlet-level reconciliation,2026-04-05,https://samosaparty.in/
SP-AR-26-1178,Festival Bulk Orders Desk Ghaziabad,150750,2026-02-18,45,2026-03-27,Arjun,Medium,Overdue,North,Ghaziabad,Mall/Transit Venue,Marketplace Delivery,GST invoice uploaded but payout still pending,,https://samosaparty.in/about
SP-AR-26-1179,Metro Hub Breakfast Program Chennai,164650,2026-03-28,7,2026-03-26,Megha,Low,Overdue,South,Chennai,Franchise Partner,Breakfast Combos,Bulk event order signoff pending from client admin,,https://samosaparty.in/store-locator
SP-AR-26-1180,Retail Franchise Supplies Faridabad,178550,2026-03-25,10,2026-03-25,Karan,Low,Overdue,North,Faridabad,Direct App Enterprise,Chai Flask Bulk Orders,Store-wise reconciliation pending with channel partner,,https://samosaparty.in/contact-us
